"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Beta_stage[1,1]",0,0,0,0,0,0,0,1,1
"Beta_stage[2,1]",0,0,0,0,0,0,0,1,1
"Beta_stage[1,2]",0.527067195437512,0.168099116002072,0.201439051306941,0.413690358325155,0.52523573806019,0.639593653409793,0.86254250581422,1.00113676490432,12000
"Beta_stage[2,2]",0.549465700646943,0.142029903033993,0.272985336197465,0.453077460282316,0.548444160373512,0.645013922339429,0.829632625144749,1.00099713756939,68000
"Beta_stage[1,3]",0.0625178191862719,0.209042699123704,-0.347556702547284,-0.0778906417516423,0.0624897835586307,0.202328605859427,0.473901989189729,1.00108144163405,19000
"Beta_stage[2,3]",0.780237059145225,0.134478586829459,0.519072750152038,0.688488725411362,0.778676889873545,0.870968270668584,1.04624563022694,1.00099439723528,68000
"Beta_stage[1,4]",0.456646639394658,0.171550010478567,0.123619671823802,0.340687688960663,0.455739993440955,0.571262475913525,0.796494748040703,1.00101221936804,56000
"Beta_stage[2,4]",0.44640352487836,0.200845858239519,0.0540572360267811,0.310001316798475,0.446767714037229,0.582332568948273,0.839325421641051,1.0010831182136,19000
"Beta_stage[1,5]",0.448337466281267,0.155119797343714,0.148129580668696,0.343086049860462,0.446482985474544,0.552308231462786,0.757166529004833,1.00104860801816,28000
"Beta_stage[2,5]",0.467757059299889,0.224343310276549,0.0271769088985446,0.316900311424738,0.467956235693655,0.618574822357896,0.907066565726933,1.00100413331606,68000
"Beta_stage[1,6]",0.646046155358084,0.229047290974931,0.21535568095474,0.487812890224734,0.639698963878294,0.798063284123876,1.11204937140399,1.0010570638959,25000
"Beta_stage[2,6]",1.12350531372952,0.246516005353659,0.652286343562165,0.955276242926204,1.11897879168476,1.2862368151929,1.62204838492144,1.00105257030803,26000
"Beta_stage[1,7]",0.131541826934874,0.2698558785005,-0.384472952949602,-0.0548591792816067,0.12722612475848,0.311565191118445,0.674223055256986,1.00099353415393,68000
"Beta_stage[2,7]",0.636417521863747,0.292744531707028,0.0590788502889164,0.439614894514592,0.639562398625334,0.832963995763232,1.20483163293147,1.00107252081729,21000
"Beta_temp[1,1]",0,0,0,0,0,0,0,1,1
"Beta_temp[2,1]",0,0,0,0,0,0,0,1,1
"Beta_temp[1,2]",0.0417182227187472,0.145897369418856,-0.242252106852288,-0.0572834304940594,0.0409350944031286,0.13996538381604,0.329733714636413,1.00101705639618,49000
"Beta_temp[2,2]",0.22595714851882,0.134451176246927,-0.0363850658853578,0.135299351128447,0.225471755481437,0.315902971854886,0.491040326776114,1.00098206670596,68000
"Beta_temp[1,3]",0.244333275977261,0.196928106081297,-0.135440749572868,0.110216498713842,0.242463995355537,0.375183023341958,0.636379451681205,1.00103544190567,34000
"Beta_temp[2,3]",0.636335255285401,0.133100124109406,0.378200708063515,0.546284091646669,0.635433902226767,0.72525474150073,0.901236229148826,1.00100648713685,66000
"Beta_temp[1,4]",-0.107883244497994,0.14593091137642,-0.395042225411735,-0.20688068313009,-0.108091800509013,-0.00847126251801588,0.177275158328401,1.00109576771477,17000
"Beta_temp[2,4]",-0.145928958781526,0.192605392369502,-0.528494642084712,-0.27465516477253,-0.143100004680528,-0.0151449048865823,0.225248011536381,1.0011874571216,9500
"Beta_temp[1,5]",0.170171744878968,0.137877298529002,-0.0969684532764986,0.077114894192603,0.169487706165501,0.262839102472655,0.442809717185228,1.00106695531464,22000
"Beta_temp[2,5]",0.00895074405498233,0.215918169916349,-0.419518201231082,-0.135517131375218,0.0108837430293278,0.155026709347936,0.427269718250608,1.00101171413934,56000
"Beta_temp[1,6]",0.310863240154196,0.186107464281209,-0.0505969715002551,0.183981039371869,0.308583632089108,0.435991204440827,0.681176969758765,1.00100730895553,64000
"Beta_temp[2,6]",-0.515001513889262,0.24984937206622,-1.0259375982277,-0.677897268954422,-0.508337530606224,-0.345173889941738,-0.0445091014083329,1.00103355890026,35000
"Beta_temp[1,7]",-0.778780600457366,0.232241480250373,-1.24812206567118,-0.932035836426435,-0.773648030212253,-0.620424782070917,-0.337452342242256,1.00110370916115,16000
"Beta_temp[2,7]",1.35975015324462,0.40589256418788,0.619270348352442,1.077385596575,1.34026098438249,1.62191056443731,2.20813739134503,1.00103606022781,33000
"Intercept[1,1]",0,0,0,0,0,0,0,1,1
"Intercept[2,1]",0,0,0,0,0,0,0,1,1
"Intercept[1,2]",-0.179864627379174,0.155191664646498,-0.486346737066337,-0.283514686151728,-0.179700176684916,-0.0749225644792406,0.122931892818977,1.0009937861313,68000
"Intercept[2,2]",-0.16143152283423,0.129246156381032,-0.419931405972321,-0.248206332432597,-0.158497302969972,-0.0733494855417117,0.0851628160185477,1.00105278845701,26000
"Intercept[1,3]",-0.351966531273694,0.219336638811007,-0.800896743874387,-0.496631304916398,-0.344867091973514,-0.201044950834602,0.0601454760498484,1.00101605085113,50000
"Intercept[2,3]",-0.0958395988184788,0.128505856228454,-0.352782586789324,-0.181550169666567,-0.0941789409865916,-0.00873369543827578,0.15282307976614,1.00100010357792,68000
"Intercept[1,4]",2.56572929851691,0.157608375140896,2.2555908775184,2.46007550946605,2.56671464772898,2.67295535087377,2.87171048051972,1.00098012473373,68000
"Intercept[2,4]",1.14909548096532,0.1920365521327,0.758844388251097,1.02222021325323,1.15423767795335,1.28167474808358,1.51085316195288,1.00101633429223,50000
"Intercept[1,5]",1.27329094333708,0.148221273827099,0.979452188532377,1.17395659044369,1.27492046612389,1.37373007337594,1.55863327528235,1.00109658781551,17000
"Intercept[2,5]",-0.256452353025278,0.214942357509385,-0.697673036079422,-0.396609159046401,-0.249885189304333,-0.10830368054175,0.146022477857445,1.00100943527592,60000
"Intercept[1,6]",0.78223346760086,0.211823590025785,0.349101140538675,0.643655856360756,0.788026481335154,0.927188011292983,1.1805486235727,1.00097639338889,68000
"Intercept[2,6]",0.065784169887816,0.344424490023654,-0.663088314936455,-0.152290018446907,0.0842657315941911,0.305555790222248,0.686541901792716,1.00118009878671,9800
"Intercept[1,7]",3.22478192569063,0.275486546549208,2.64684960762349,3.04768221325013,3.2373431053229,3.41593485525961,3.72839241675896,1.00103441412909,34000
"Intercept[2,7]",2.36912619822599,0.42012229159095,1.46967714472398,2.10494064542413,2.39668085640093,2.66518276934023,3.10709408828927,1.00104923579719,27000
"beta1[1,1]",0,0,0,0,0,0,0,1,1
"beta1[2,1]",0,0,0,0,0,0,0,1,1
"beta1[1,2]",-0.715792348101313,0.000151993161182232,-0.716091268052336,-0.715895046632855,-0.715791671201456,-0.715689963104772,-0.715493857596658,1.00102813040347,39000
"beta1[2,2]",-0.836855605062176,0.000128736067999636,-0.837106889639677,-0.836942516620971,-0.836855871881114,-0.836768576185301,-0.836601947168107,1.00101454850789,52000
"beta1[1,3]",-1.39665005184534,0.000194480331008469,-1.39703207914071,-1.39678045734183,-1.396650335716,-1.39651893412321,-1.39626820159068,1.00098915715873,68000
"beta1[2,3]",-0.833105787938403,0.00012718539944291,-0.833357512372709,-0.833190282358232,-0.833105374472164,-0.833019745511842,-0.832858020645328,1.00104293050652,30000
"beta1[1,4]",-3.5140469192288,0.000509650462488965,-3.5150415070257,-3.51439190559749,-3.51404541502003,-3.51370260066855,-3.51305563275952,1.0010616943253,23000
"beta1[2,4]",-3.0675931090022,0.000337116913588428,-3.06824867379113,-3.06782254011637,-3.06759287464438,-3.06736495043216,-3.06693356713281,1.000991745265,68000
"beta1[1,5]",-2.01995261508599,0.000253600739667342,-2.02044848841247,-2.02012440916369,-2.01995224130164,-2.01978178096011,-2.01945502358966,1.00098916334053,68000
"beta1[2,5]",-1.9613419144248,0.000201985666996007,-1.96173986176751,-1.96147785851131,-1.96134244976947,-1.96120505860175,-1.96094708488596,1.00101683166602,49000
"beta1[1,6]",-2.26601962918741,0.000333288651117651,-2.26667056769089,-2.26624531709795,-2.26601873838512,-2.26579492110332,-2.26536610856746,1.0012783789796,6600
"beta1[2,6]",-2.97428016609881,0.000341221664110977,-2.97495253323124,-2.9745079106794,-2.97428033789429,-2.97405046779761,-2.97361486157699,1.00100214513279,68000
"beta1[1,7]",-5.29786547246412,0.00152114900899056,-5.30083519879949,-5.29889266649209,-5.29786010728752,-5.29684557733035,-5.29488313965261,1.00099669438461,68000
"beta1[2,7]",-5.89349886653828,0.0013745721913437,-5.89618141610088,-5.89442933848609,-5.89350029159212,-5.89257712297676,-5.89079727718772,1.00099437310508,68000
"beta2[1,1]",0,0,0,0,0,0,0,1,1
"beta2[2,1]",0,0,0,0,0,0,0,1,1
"beta2[1,2]",0.299086461703032,0.000139181320691555,0.298812829817294,0.298992651784959,0.299086601485591,0.299180576826686,0.299358287370397,1.00098793617079,68000
"beta2[2,2]",0.161549332549314,8.43538406779915e-05,0.161383482592396,0.161492532128891,0.161549222721121,0.16160666637522,0.16171342600679,1.00103064344839,37000
"beta2[1,3]",0.307073185718738,0.000179079890079675,0.306722039117749,0.306952429343933,0.30707373658765,0.3071940935024,0.307423465199061,1.00110623534133,15000
"beta2[2,3]",0.139151172555219,8.46203095548427e-05,0.138984845864729,0.13909422909712,0.139151065325819,0.139208207990943,0.13931723039396,1.00102465395737,41000
"beta2[1,4]",0.313535557104743,0.000470950043062816,0.312616185342338,0.313216525059358,0.313536459833716,0.313854410727001,0.314457551272839,1.00098124884857,68000
"beta2[2,4]",0.175830293891605,0.000214085540997416,0.175407928557036,0.175685693237957,0.175830668707384,0.175975184344434,0.176248002411137,1.00098250587521,68000
"beta2[1,5]",0.261696717259635,0.000230973311118621,0.261241155890301,0.26154176416027,0.261697689726511,0.261852124629162,0.262147369123433,1.00103260320902,36000
"beta2[2,5]",0.166448154968401,0.000129766518831452,0.166195140287907,0.166359979046713,0.166448133033089,0.166535926769237,0.16670099284899,1.00097631096223,68000
